community,members
3994,q68_text_Amazon_Spain_subsidiary_required_job_applicants_to_provide_criminal_record_certificates_without_legal_basis_under_Article_10_GDPR_DPA_fined_2M_for_unlawful_processing_rejecting_consent_and_legitimate_interest_claims_and_ordered_compliance_measures
3995,q68_text_Air_Europa_suffered_a_cyberattack_from_May_to_August_2018_compromising_489_000_customers_bank_card_data_The_Spanish_DPA_found_violations_of_Articles_32_1_inadequate_security_measures_and_33_late_breach_notification_imposing_fines_of_500_000_and_100_000_respectively_citing_negligence_and_failure_to_protect_data_adequately
3996,q67_lang_ENGLISH_LIKELY
3997,q67_text_WP260_rev_01_WP251_rev_01
3998,q68_text_Catalan_DPA_found_La_Canonja_City_Council_violated_GDPR_Articles_5_and_35_by_using_fingerprint_biometrics_for_employee_time_tracking_without_legal_basis_or_impact_assessment_ordered_cessation_and_alternative_system_implementation_within_two_months_with_no_fine_imposed
3999,q67_text_NONE
4000,q67_text_Opinion_3_2012_on_biometric_technologies_Opinion_2_2017_on_data_processing_at_work_CEPD_Guide_3_2019_on_video_devices
4001,q67_text_Not_mentioned
4002,q67_text_Not_explicitly_referenced_but_CJEU_case_law_Lindqvist_C_212_2013_and_GDPR_recitals_mentioned
4003,q67_text_None_mentioned
4004,q67_text_NOT_MENTIONED
4005,q67_text_NOT_APPLICABLE
4006,q67_text_MISSING
4007,q67_text_Opinion_4_2007_on_concept_of_personal_data_Opinion_06_2014_on_legitimate_interests
4008,q67_text_Judgment_of_the_Court_of_Justice_of_the_European_Union_case_C_807_21_Deutsche_Wohnen
4009,q67_text_Judgment_of_the_Court_of_Justice_of_the_European_Union_of_May_13_2014
4010,q67_text_Judgment_of_the_Court_of_Justice_of_the_European_Union_of_5_December_2023_in_Case_C_807_21_Deutsche_Wohnen
4011,q67_text_Instruction_1_2006_AEPD
4012,q67_text_ICO_Guidance_on_Data_Security_NCSC_guidance_on_passwords_and_logging
4013,q67_text_Guidelines_on_the_implementation_of_the_Court_of_Justice_of_the_European_Union_Judgment_on_Google_Spain_and_inc_v_AEPD_and_Mario_Costeja_C_131_12
4014,q67_text_Opinion_3_2012_on_the_evolution_of_biometric_technologies
4015,q67_text_Opinion_4_2007_on_the_concept_of_personal_data_by_the_Article_29_Working_Party
4016,q67_text_WP250_Guidelines_on_personal_data_breach_notification_Guidelines_01_2021_on_examples_of_personal_data_breach_notification
4017,q67_text_TYPE_Recitals_39_75_76_83_of_GDPR
4018,q67_text_WP248_Guidelines_on_Data_Protection_Impact_Assessment
4019,q67_text_UNCLEAR
4020,q67_text_TYPE_STRING_None_mentioned
4021,q67_text_TYPE_STRING_1
4022,q67_text_TYPE_STRING
4023,q67_text_TYPE_Recitals_39_75_76_83_148_of_the_GDPR
4024,q67_text_TYPE_Not_explicitly_mentioned
4025,q67_text_Opinion_4_2007_on_the_concept_of_personal_data_of_the_Group_of_Article_29
4026,q67_text_TYPE_NOT_MENTIONED
4027,q67_text_TYPE_EDPB_Guidelines_07_2020_on_the_concepts_of_controller_and_processor
4028,q67_text_TYPE_EDPB_Guidelines_05_2020_on_consent_WP29_Guidelines_on_transparency_WP29_Opinion_6_2014_on_legitimate_interest
4029,q67_text_TYPE
4030,q67_text_Schrems_II_ruling_C_311_18
4031,q67_text_Regulation_EU_2016_679_GDPR_Organic_Law_3_2018_LOPDGDD_Law_41_2002_Patient_Autonomy_Law
4032,q68_text_CaixaBank_processed_client_data_for_anti_money_laundering_checks_via_TGSS_without_valid_consent_Spanish_DPA_found_consent_not_free_specific_or_informed_fining_1_2M_after_reductions_for_cooperation_and_payment
4033,q68_text_City_Council_of_Jerez_de_la_Frontera_processed_claimant_s_and_spouse_s_personal_data_without_legal_basis_by_assuming_community_property_regime_without_verification_leading_to_unauthorized_debt_communication_and_data_requests_DPA_issued_warning_under_Article_77_2_LOPDGDD_for_Article_6_GDPR_violation
4034,q68_text_Slovenian_DPA_provided_a_non_binding_opinion_on_distance_education_processing_stating_legal_obligation_under_Article_6_1_c_is_the_appropriate_basis_for_schools_not_consent_and_emphasized_data_minimization_and_security_principles
4035,q68_text_Natural_person_installed_video_surveillance_cameras_on_home_facade_capturing_public_roads_and_private_areas_excessively_without_information_sign_violating_GDPR_Articles_5_1_c_data_minimization_and_13_information_obligations_fined_1_500_total_and_ordered_to_reorient_cameras_and_install_signage_within_10_days_with_aggravating_factors_including_negligence_and_non_cooperation
4036,q68_text_Orange_fined_1_2M_for_GDPR_violations_200K_for_unlawful_SIM_duplicate_processing_Art_6_and_1M_for_inadequate_data_protection_by_design_Art_25_Case_initiated_by_complaint_after_fraudulent_SIM_swap_led_to_9K_theft_DPA_found_Orange_s_measures_insufficient_to_prevent_agent_misuse_with_previous_infringements_noted
4037,q68_text_Orange_Spain_fined_200_000_for_providing_duplicate_eSIM_to_impersonator_without_identity_verification_violating_Article_6_1_GDPR_DPA_found_lack_of_due_diligence_despite_security_measures_with_aggravating_factors_including_previous_similar_infringements
4038,q68_text_Nordax_Bank_AB_failed_to_handle_complainant_s_data_subject_rights_requests_under_Articles_12_15_and_17_IMY_issued_reprimand_and_compliance_orders_due_to_minor_infringement_affecting_one_person_human_error_no_prior_breaches_and_cross_border_cooperation_with_Norway_Denmark_Finland_and_Germany
4039,q68_text_Non_profit_association_published_claimant_s_home_address_on_Twitter_without_legal_basis_immediate_removal_and_cooperation_led_to_warning_instead_of_fine_under_Article_83_5_a_GDPR_for_violating_Article_6_lawfulness_and_Article_5_confidentiality_principles
4040,q68_text_Non_binding_opinion_addressing_employer_processing_of_employee_COVID_19_test_data_and_health_card_numbers_discusses_legal_bases_under_GDPR_Article_6_and_9_emphasizes_problematic_consent_in_employment_contexts_references_EDPB_guidelines_and_advises_on_purpose_limitation_and_data_minimization_principles
4041,q68_text_Natural_person_operated_website_publishing_personal_data_of_383_individuals_without_lawful_basis_fined_150_EUR_for_violating_Articles_5_1_a_f_and_6_1_a_GDPR
4042,q68_text_NOT_DISCUSSED
4043,q68_text_Polish_DPA_fined_PNP_Sp_ka_Akcyjna_EUR_5000_for_failing_to_cooperate_and_provide_information_requested_during_complaint_investigation_violating_Articles_31_and_58_1_e_GDPR_violation_was_continuous_from_October_2019_deemed_serious_due_to_hindering_proceedings
4044,q68_text_Media_outlet_CONECTA5_TELECINCO_published_unaltered_victim_voice_recording_in_news_coverage_AEPD_found_violation_of_Article_5_1_c_GDPR_data_minimization_and_ordered_immediate_content_removal_Defendant_argued_voice_wasn_t_personal_data_but_complied_with_removal_order
4045,q68_text_Media_company_published_unaltered_audio_of_rape_victim_s_court_statement_violating_data_minimization_fined_30_000_after_appeal_and_cooperation_DPA_found_voice_identifiable_personal_data_and_freedom_of_information_did_not_justify_unnecessary_disclosure
4046,q68_text_MISSING
4047,q68_text_MAG_Interactive_AB_violated_Article_12_3_by_delaying_notification_of_deletion_outcome_until_Nov_2020_for_May_2019_request_no_Article_17_violation_found_case_closed_without_action_due_to_oversight_and_implemented_procedural_improvements
4048,q68_text_Klarna_Bank_AB_fined_SEK_7_5M_by_Swedish_DPA_for_transparency_violations_in_data_protection_information_from_March_to_June_2020_failing_to_adequately_inform_on_purposes_legal_bases_data_sharing_storage_rights_and_automated_decisions_affecting_millions_of_users
4049,q68_text_Insufficient_information_provided_to_summarize_case_facts_issues_or_reasoning
4050,q68_text_Polish_DPA_fined_Chief_National_Surveyor_12_732_for_failing_to_notify_a_48_hour_disclosure_of_land_register_numbers_personal_data_on_its_website_and_not_informing_data_subjects_despite_explicit_DPA_instruction_violations_were_intentional_and_repeat_offenses
4051,q68_text_Polish_DPA_fined_Pactum_Poland_Sp_z_o_o_PLN_18_192_for_failing_to_cooperate_in_a_complaint_investigation_violating_Articles_31_and_58_1_e_GDPR_by_not_responding_to_multiple_requests_for_information_deemed_intentional_and_ongoing_since_July_2020_with_no_mitigation_or_cooperation
4052,q68_text_Individual_installed_video_surveillance_cameras_in_common_areas_without_authorization_or_information_signs_violating_GDPR_Articles_6_and_13_fined_1_500_and_ordered_to_remove_cameras_and_provide_proof_within_15_days
4053,q68_text_Romanian_DPA_fined_SC_Nobiotic_Pharma_SRL_2000_for_failing_to_provide_information_during_an_investigation_into_unsolicited_SMS_complaints_violating_Article_58_1_cooperation_obligations
4054,q68_text_Slovenian_DPA_issued_a_non_binding_advisory_opinion_clarifying_data_access_rights_under_GDPR_Article_15_and_national_laws_specifically_addressing_police_data_processing_exemptions_under_national_security_provisions_without_any_enforcement_actions
4055,q68_text_Slovenian_DPA_initiated_ex_officio_inspection_of_a_bar_s_video_surveillance_system_finding_it_recorded_beyond_necessary_areas_e_g_entire_terrace_and_interior_without_valid_legal_basis_under_legitimate_interests_violating_data_minimization_and_purpose_limitation_ordered_camera_adjustments_to_limit_recording_to_entrance_and_cash_register_only_with_no_fine_imposed
4056,q68_text_Slovak_DPA_issued_advisory_opinion_to_Ministry_of_Finance_finding_that_FATCA_related_tax_treaties_lack_GDPR_compliant_safeguards_for_US_data_transfers_referencing_EDPB_guidelines_and_CJEU_Schrems_II_ruling_recommending_pan_European_coordination
4057,q68_text_School_used_facial_recognition_for_cashless_catering_without_prior_DPIA_and_relied_on_invalid_opt_out_consent_reprimanded_for_Article_35_1_violation_with_remedial_steps_noted
4058,q68_text_Romanian_DPA_fined_Tehnoplus_Industry_SRL_5000_EUR_for_excessive_GPS_monitoring_of_employee_without_proper_legal_basis_information_or_storage_limits_ordered_compliance_reassessment_and_data_limitation
4059,q68_text_Romanian_DPA_fined_Sanatatea_Press_Group_SRL_2_000_EUR_on_12_08_2020_for_breaching_Article_32_and_5_1_f_GDPR_Investigation_followed_controller_s_breach_notification_of_erroneous_login_data_transmission_during_online_event_exposing_emails_usernames_of_1_300_users_Violation_due_to_inadequate_security_measures_no_harm_materialized_subjects_notification_not_discussed
4060,q68_text_Romanian_DPA_fined_RED_WHITE_2022_MANAGEMENT_S_A_5000_for_violating_GDPR_Article_28_3_by_failing_to_provide_documented_instructions_to_its_processor_when_sending_a_crowdfunding_email_to_a_supporter_database
4061,q68_text_Polish_DPA_fined_Virgin_Mobile_Polska_P4_350k_for_GDPR_security_breaches_inadequate_IT_measures_led_to_unauthorized_access_affecting_114_963_prepaid_subscribers_data_including_PESEL_numbers_Violated_Articles_5_1_f_5_2_25_1_32_1_b_d_32_2_Fine_based_on_negligence_high_risk_but_mitigated_by_cooperation_and_remediation
4062,q68_text_Romanian_DPA_fined_Meedea_Construct_Prest_SRL_2000_for_unlawfully_disclosing_a_former_employee_s_personal_and_health_data_to_a_third_party_violating_GDPR_principles_of_lawfulness_purpose_limitation_security_and_accountability
4063,q68_text_Romanian_DPA_fined_Global_Ports_s_Services_2000_for_GPS_monitoring_of_employee_without_legal_basis_information_or_storage_limits_issued_warnings_and_compliance_orders_for_transparency_and_storage_violations
4064,q68_text_Romanian_DPA_fined_Corint_Logistic_SRL_2000_EUR_and_issued_warning_for_GDPR_violations_lack_of_consent_for_marketing_SMS_failure_to_honor_deletion_objection_requests_and_inadequate_response_to_access_requests_corrective_orders_for_compliance_procedures
4065,q68_text_Profi_Rom_Food_Srl_fined_10_000_for_sharing_employee_ID_data_without_legal_basis_and_warned_for_security_failures_after_employee_leaked_video_data_via_WhatsApp_DPA_ordered_compliance_measures_and_training
4066,q68_text_Polish_school_processed_student_data_via_surveys_without_legal_basis_under_Article_6_1_c_violating_Article_5_1_a_DPA_issued_warning_due_to_unintentional_violation_immediate_corrective_actions_no_harm_and_first_time_offense
4067,q68_text_Polish_DPA_issued_a_warning_to_a_sole_proprietor_for_failing_to_cooperate_in_a_complaint_investigation_by_not_responding_to_information_requests_over_months_citing_illness_and_COVID_19_no_fine_imposed_due_to_eventual_cooperation_and_mitigating_factors
4068,q68_text_Individual_installed_video_surveillance_cameras_on_property_facade_capturing_common_areas_and_neighbors_private_spaces_without_authorization_or_proper_signage_Spanish_DPA_found_violation_of_GDPR_Article_5_1_c_data_minimization_principle_imposed_2000_fine_and_compliance_order_to_rectify_or_remove_system
4069,q68_text_Individual_installed_video_surveillance_cameras_capturing_neighbor_s_property_images_violating_GDPR_Article_5_1_c_data_minimization_Spanish_DPA_imposed_300_fine_and_compliance_order_to_remove_readjust_cameras_within_10_days
4070,q68_text_Civil_Guard_refers_complaint_against_self_employed_gas_installer_A_A_A_for_leaving_behind_a_Dietario_Perpetuo_diary_containing_names_surnames_IDs_addresses_and_phones_of_clients_without_consent_or_information_AEPD_initiates_proceedings_for_Article_6_1_a_and_Article_13_GDPR_violations_finds_unlawful_processing_of_personal_data_lacking_lawful_basis_and_failure_to_inform_data_subjects_Imposes_3_000_EUR_fine_for_Article_6_breach_warning_for_Article_13_and_orders_compliance_with_information_duties_within_one_month_citing_local_scope_negligence_and_no_prior_infringements
4071,q68_text_Complaint_about_access_to_recorded_phone_conversation_Nordea_provided_transcript_and_edited_audio_file_DPA_found_compliance_with_Article_15_and_closed_case_without_action
4072,q68_text_Complaint_alleged_RAE_transferred_personal_data_to_Google_LLC_via_Google_Analytics_without_adequate_safeguards_post_Schrems_II_DPA_archived_case_finding_no_evidence_of_infringement_as_RAE_ceased_processing_and_claimed_public_interest_basis
4073,q68_text_Complaint_alleged_LSSI_violation_for_cookie_policy_on_westwing_es_AEPD_verified_cookies_were_technical_necessary_found_no_infringement_archived_procedure_without_sanction
4074,q68_text_Complaint_against_SAGE_SPAIN_SL_for_failure_to_respond_to_data_subject_access_request_within_legal_timeframe_defendant_eventually_complied_during_procedure_resolving_the_issue_without_fine_or_corrective_measures
4075,q68_text_Complaint_against_Google_for_failure_to_comply_with_erasure_request_regarding_a_Google_My_Business_review_during_proceedings_Google_removed_the_content_resolving_the_issue_without_fine_or_further_action
4076,q68_text_Complaint_against_Google_LLC_for_delayed_response_to_erasure_request_under_GDPR_Article_17_Spanish_DPA_found_violation_due_to_untimely_handling_but_no_fine_imposed_as_rights_were_restored_post_complaint
4077,q68_text_Complaint_against_BBB_for_video_surveillance_cameras_oriented_towards_public_space_DPA_found_violation_of_Article_5_1_c_GDPR_data_minimization_as_system_captured_unnecessary_third_party_data_defendant_paid_reduced_fine_of_1200_after_acknowledging_responsibility_and_voluntary_payment
4078,q68_text_Complainant_on_Robinson_List_received_unsolicited_marketing_call_from_Iberdrola_client_s_telesales_collaborator_on_June_19_2020_due_to_human_error_AEPD_initiated_sanctioning_procedure_for_violation_of_Article_21_GDPR_right_to_object_proposing_10_000_EUR_fine_under_LGT_minor_infringement_Procedure_terminated_after_voluntary_payment_of_6_000_EUR_with_reductions_for_responsibility_acknowledgment_and_cooperation
4079,q68_text_Complaint_alleged_video_surveillance_camera_on_pub_facade_captured_excessive_public_space_Spanish_DPA_investigation_found_no_violation_as_capture_was_minimal_and_necessary_for_security_resulting_in_no_penalty
4080,q68_text_Complainant_A_A_A_filed_complaint_against_Bankia_S_A_on_20_Sep_2019_for_retaining_personal_data_16_years_after_ceasing_client_status_discovered_during_re_onboarding_AEPD_initiated_sanction_procedure_PS_00076_2020_on_8_Jun_2020_for_Article_5_1_b_GDPR_violation_on_storage_limitation_Bankia_claimed_data_blocked_per_retention_policy_but_procedure_terminated_voluntarily_via_decision_R_00387_2020
4081,q68_text_Claimant_sought_delisting_of_personal_data_from_Google_search_results_linking_to_Constitutional_Court_ruling_AEPD_upheld_claim_against_Google_for_one_URL_where_data_was_outdated_dismissed_against_Constitutional_Court_citing_jurisdictional_limits_no_fine_imposed_compliance_order_issued
4082,q68_text_Claimant_requested_deletion_of_nine_URLs_from_Google_search_results_citing_personal_data_without_consent_AEPD_dismissed_the_claim_finding_URLs_related_to_professional_activity_e_g_public_exams_BORME_publications_were_of_public_interest_with_legitimate_interests_prevailing_under_Article_17_3_a_GDPR_for_freedom_of_expression_No_violations_or_fines_imposed
4083,q68_text_Claimant_filed_complaint_on_May_4_2020_against_City_Council_of_Mejora_del_Campo_for_lacking_DPO_AEPD_initiated_sanctioning_procedure_on_September_30_2020_for_Article_37_1_GDPR_violation_defendant_did_not_respond_Issued_warning_and_ordered_DPO_appointment_within_one_month_no_fine_due_to_public_body_status
4084,q68_text_Claimant_filed_access_request_against_university_DPA_found_request_excessive_abusive_under_Article_12_5_GDPR_no_violations_by_defendant_case_closed_without_fine
4085,q68_text_Claimant_alleged_failure_to_respond_to_access_and_deletion_requests_regarding_a_debt_Spanish_DPA_found_defendant_provided_access_and_reasoned_deletion_denial_based_on_enforceable_debt_dismissed_claim_with_no_violations_or_fine
4086,q68_text_Complaint_alleged_unauthorized_data_processing_via_email_from_corporate_account_DPA_archived_case_ruling_processing_was_exclusively_personal_domestic_activity_under_GDPR_Article_2_2_c_thus_outside_GDPR_scope_No_infringement_found
4087,q68_text_Complaint_alleged_video_surveillance_cameras_capturing_public_private_spaces_without_authorization_investigation_found_cameras_limited_to_defendant_s_private_property_with_proper_signage_no_evidence_of_public_space_capture_or_GDPR_violation_case_archived
4088,q68_text_Individual_hotel_operator_fined_3_000_for_violating_GDPR_Article_5_1_c_by_installing_video_surveillance_cameras_capturing_disproportionate_public_space_images_without_mandatory_information_posters_DPA_considered_lack_of_previous_infringements_and_small_business_status_in_setting_fine
4089,q68_text_IKEA_Romania_SA_fined_1000_for_GDPR_Article_32_security_breach_children_s_contest_data_mistakenly_published_online_for_40_hours_exposing_114_individuals_data_DPA_emphasized_need_for_specific_child_data_protection
4090,q68_text_Individual_defendant_B_B_B_fined_1000_for_violating_GDPR_Article_5_1_c_data_minimization_by_orienting_home_video_surveillance_cameras_to_capture_excessive_public_and_third_party_private_space_despite_prior_warning_ordered_to_mask_cameras_and_remove_any_affecting_transit_areas_within_one_month
4091,q68_text_Individual_B_B_B_published_complainant_s_personal_data_on_Facebook_without_lawful_basis_Spanish_DPA_initiated_procedure_defendant_paid_reduced_600_fine_and_must_delete_data_within_10_days_Violation_of_Article_6_1_GDPR
4092,q68_text_Individual_A_A_A_used_claimant_B_B_B_s_photos_to_create_fake_Tinder_WhatsApp_profiles_for_deceptive_interactions_Spanish_DPA_found_Article_5_1_a_GDPR_violation_imposed_2_000_fine_reduced_to_1_200_via_voluntary_payment_and_responsibility_recognition_terminating_the_procedure
4093,q68_text_Individual_A_A_A_repeatedly_posted_complainant_s_resume_containing_personal_data_on_Facebook_groups_without_consent_Spanish_DPA_found_violation_of_consent_principle_Article_6_1_LOPD_GDPR_issued_warning_and_compliance_order_to_remove_data_but_no_fine_due_to_mitigating_factors_including_first_offense_and_no_proven_harm
4094,q68_text_ING_Spain_fined_1_6M_for_GDPR_Article_6_violation_required_non_freely_given_consent_via_adhesion_clause_for_TGSS_data_verification_in_account_openings_despite_AML_regulations_not_mandating_this_method_DPA_found_consent_invalid_and_ordered_compliance_within_6_months
4095,q68_text_IMY_reprimanded_Trionic_Sverige_AB_for_unlawfully_disclosing_complainant_s_data_without_legal_basis_under_Article_6_1_and_insufficient_recipient_information_under_Article_13_1_e_considering_it_a_minor_infringement_with_no_fine_due_to_limited_impact_and_cooperation
4096,q68_text_I_DE_a_large_Spanish_electricity_distributor_suffered_a_cyberattack_in_March_2022_exploiting_a_vulnerability_in_its_GEA_web_application_leading_to_unauthorized_access_and_exfiltration_of_personal_data_of_1_35_million_customers_The_Spanish_DPA_found_violations_of_Articles_5_1_f_confidentiality_breach_and_32_inadequate_security_measures_GDPR_imposing_fines_totaling_3_5_million_due_to_the_scale_of_processing_negligence_and_mitigating_actions_taken
4097,q68_text_Complaint_filed_regarding_video_surveillance_cameras_allegedly_oriented_towards_complainant_s_home_potentially_violating_data_minimisation_principle_defendant_denied_responsibility_Spanish_DPA_archived_procedure_as_responsible_party_could_not_be_identified_no_sanctions_imposed
4098,q68_text_Glove_Technology_SRL_fined_5_000_for_processing_employee_data_via_audio_video_surveillance_without_legal_basis_under_Article_6_1_violating_Article_5_1_a_ordered_to_cease_processing_and_delete_data_immediately
4099,q68_text_Flexicredit_sanctioned_3000_for_GDPR_Article_32_2_violation_inadequate_security_measures_allowed_employee_to_fraudulently_obtain_17_loans_using_falsified_documents_without_proper_identity_verification_processing_personal_data_of_multiple_subjects
4100,q68_text_Eulen_as_processor_sent_six_emails_over_three_years_without_blind_copy_exposing_recipients_email_addresses_and_names_to_50_others_each_time_The_Catalan_DPA_found_a_confidentiality_breach_under_Article_5_1_f_GDPR_imposing_a_3_000_fine_reduced_to_1_800_for_cooperation_and_voluntary_payment
4101,q68_text_Ellos_Group_AB_violated_Article_32_1_GDPR_by_insufficient_security_in_its_merge_customer_process_allowing_unauthorized_access_to_purchase_history_via_publicly_available_data_IMY_issued_a_reprimand_considering_it_a_minor_infringement_due_to_negligence_single_affected_person_no_sensitive_data_and_prompt_mitigation_actions
4102,q68_text_Easylife_Limited_a_UK_mail_order_company_inferred_health_conditions_from_customer_purchase_data_to_target_telemarketing_of_health_supplements_without_lawful_basis_or_transparency_processing_special_category_data_unlawfully_The_ICO_imposed_a_1_35M_fine_for_violating_Article_5_1_a_GDPR_citing_negligence_scale_affecting_145_400_individuals_and_prior_compliance_issues
4103,q68_text_EDP_Solar_Espa_a_sent_an_email_to_99_solar_project_participants_containing_an_attachment_with_excessive_personal_data_beyond_necessity_violating_GDPR_Article_5_1_c_fined_42_000_after_reductions_for_cooperation_and_acknowledgment_with_a_compliance_order_to_adjust_data_processing_practices
4104,q67_text_Guidelines_on_the_application_and_setting_of_administrative_fines_for_the_purposes_of_Regulation_2016_679
4105,q67_text_Guidelines_5_2020_on_consent_under_Regulation_EU_2016_679
4106,q67_text_Guidelines_5_2020_on_consent
4107,q67_text_Answer_68_EasyJet_violated_Article_15_GDPR_by_failing_to_respond_to_a_data_subject_access_request_within_the_required_one_month_period_taking_nearly_four_months_The_Spanish_DPA_imposed_an_8_000_fine_after_a_voluntary_payment_reduction_citing_the_violation_duration_as_aggravating_but_cooperation_and_compliance_as_mitigating
4108,q67_text_Answer_68_Klarna_Bank_AB_received_two_cross_border_access_requests_one_was_delayed_over_5_months_violating_Article_12_3_IMY_issued_a_reprimand_under_Article_58_2_b_considering_it_a_minor_infringement_with_no_fine_imposed
4109,q67_text_Answer_68_Iberia_airline_fined_20_000_for_processing_personal_data_without_legal_basis_after_data_subject_withdrew_consent_and_requested_deletion_with_aggravating_factors_of_negligence_and_previous_similar_infringement
4110,q67_text_Answer_68_Iberdrola_Clientes_SAU_violated_GDPR_Article_5_1_f_security_principle_when_a_third_party_received_claimant_s_invoice_with_personal_data_fine_reduced_to_24_000_after_acknowledgment_and_payment
4111,q67_text_Answer_68_ING_Bank_Bucharest_Branch_fined_3000_for_GDPR_Article_32_violation_after_unauthorized_WhatsApp_transmission_of_customer_data_file_lacking_adequate_security_measures
4112,q67_text_Answer_68_Farmacia_Ardealul_SRL_fined_2_500_for_GDPR_Article_32_security_breach_due_to_malware_on_website_compromising_customer_bank_data_corrective_order_to_implement_security_testing_plan
4113,q67_text_Answer_68_Enel_Energie_Muntenia_SA_fined_3000_for_Article_32_violation_inadequate_security_measures_led_to_email_disclosure_of_client_data_to_wrong_recipient_compliance_order_issued_to_implement_measures_within_30_days
4114,q67_text_Answer_68_Curenerg_a_unlawfully_transferred_complainant_s_personal_data_to_Iberdrola_Clientes_without_legal_basis_due_to_salesperson_error_DPA_imposed_60_000_fine_after_reductions_for_acknowledgment_and_payment_citing_violation_of_Article_6_GDPR
4115,q67_text_Answer_68_Norfolk_County_Council_failed_to_respond_to_251_of_511_subject_access_requests_within_statutory_deadlines_over_one_year_ICO_issued_reprimand_due_to_COVID_19_mitigating_factors_and_remedial_actions_requiring_compliance_improvements_within_six_months
4116,q67_text_Answer_68_Complaint_against_clinic_for_using_surgeon_s_image_without_consent_DPA_found_valid_consent_via_signed_contract_case_filed_with_no_violation_or_fine
4117,q67_text_Answer_68_Clyde_Valley_Housing_Association_reprimanded_for_a_security_breach_when_a_customer_portal_exposed_residents_personal_data_due_to_a_technical_failure_data_was_accessible_for_5_days_after_initial_report_until_suspension
4118,q67_text_Answer_68_Claimant_reported_manipulated_images_of_minor_daughter_on_pornographic_site_AEPD_investigated_but_could_not_identify_infringing_party_content_removed_promptly_case_filed_with_no_violations_found
4119,q67_text_Answer_68_Claimant_filed_complaint_on_May_21_2020_against_Burgos_City_Council_for_lacking_DPO_AEPD_initiated_sanctioning_procedure_November_17_2020_for_Article_37_GDPR_violation_council_contracted_external_service_August_18_2020_but_failed_to_appoint_and_notify_DPO_AEPD_issued_warning_and_ordered_DPO_appointment_within_2_months_citing_public_body_rules_under_LOPDGDD_Article_77_allowing_non_monetary_sanctions
4120,q67_text_Answer_68_Claimant_alleged_Niantic_violated_GDPR_by_sharing_location_data_with_players_using_GPS_spoofing_Spanish_DPA_investigated_and_archived_the_case_finding_Niantic_obtained_proper_consent_and_had_mechanisms_to_address_cheating_with_no_GDPR_violations_identified
4121,q67_text_Answer_68_Banco_Cetelem_processed_complainant_s_bank_account_data_without_lawful_basis_charged_debts_to_wrong_account_over_multiple_months_failed_to_fully_erase_data_after_request_and_transferred_data_to_third_party_Fined_150_000_for_Article_6_and_17_violations_with_compliance_order_to_rectify_processing_within_3_months
4122,q67_text_Answer_68_Law_firm_LVCENTVM_LEGAL_S_L_obtained_personal_data_via_court_order_for_IP_infringement_claims_but_failed_to_fully_inform_data_subjects_per_Article_14_GDPR_DPA_issued_a_warning_considering_SME_status_and_remediation
4123,q67_text_Answer_68_Orange_Espa_a_processed_claimant_s_phone_line_portability_without_verifying_identity_enabling_fraud_leading_to_unauthorized_bank_transfers_AEPD_found_Article_6_violation_imposed_30_000_fine_after_reductions_for_acknowledgment_and_payment
4124,q67_text_Answer_68_AMEX_sent_4M_marketing_emails_without_consent_over_12_months_misclassifying_them_as_servicing_ICO_fined_90k_for_PECR_breach_citing_negligence_and_financial_benefit_with_mitigation_for_corrective_actions
4125,q67_text_Answer_68_Romanian_DPA_investigated_TAROM_airline_after_breach_notification_found_Article_32_GDPR_violations_for_inadequate_measures_allowing_unauthorized_employee_access_to_five_passengers_data_causing_confidentiality_loss_and_disclosure_Imposed_5_000_EUR_fine_and_ordered_review_update_of_measures_procedures_and_employee_training
4126,q67_text_Answer_68_Spanish_DPA_fined_AD735_DATA_MEDIA_ADVERTISING_S_L_15_000_for_failing_to_delete_complainant_s_data_after_erasure_request_under_GDPR_Article_17_and_sending_unsolicited_advertising_emails_without_consent_under_LSSI_Article_21_citing_lack_of_diligence_and_intentionality_as_aggravating_factors
4127,q67_text_Answer_68_Spanish_DPA_dismissed_complaint_against_local_police_for_photographing_ID_during_COVID_19_perimeter_control_finding_the_action_justified_under_public_security_laws_and_compliant_with_GDPR_security_requirements_using_official_equipment_with_subsequent_deletion
4128,q67_text_Answer_68_Spanish_DPA_archived_case_against_Cacabelos_City_Council_for_unauthorized_access_to_municipal_registry_data_by_a_council_member_in_early_2019_finding_security_violations_under_Article_5_1_f_GDPR_but_dismissing_due_to_statute_of_limitations_expiring_before_procedure_initiation
4129,q67_text_Answer_68_Spanish_DPA_archived_case_against_AUTOMOVILES_FERSAN_S_A_after_finding_no_GDPR_violation_defendant_used_claimant_s_data_legitimately_under_contract_basis_for_vehicle_purchase_where_claimant_was_co_owner_not_as_unauthorized_guarantor
4130,q67_text_Answer_68_Slovenian_Information_Commissioner_issued_non_binding_opinion_regarding_municipality_s_refusal_to_disclose_objectors_signatures_in_land_sale_process_confirmed_signatures_are_personal_data_but_did_not_assess_legality_of_processing_due_to_lack_of_inspection_procedure
4131,q67_text_Answer_68_Slovenian_Information_Commissioner_issued_non_binding_opinion_on_employer_processing_of_employee_sick_leave_data_confirming_Article_6_1_c_legal_basis_under_national_employment_law_for_limited_information_movement_regimen_absence_duration_but_not_medical_diagnosis_with_reference_to_existing_guidelines
